"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-189.897,-0.0187667,0.0113055,-0.00402469,-0.224109,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-189.643,-0.0308879,-0.0534545,-0.026806,-0.15965,961.721,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-189.389,-0.272818,-0.0594624,-0.0509805,-0.0678023,-52.689,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-189.135,-0.261209,-0.112717,0.0842352,0.0256906,-86.577,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-188.88,-0.0270988,-0.0696042,0.195672,0.0913909,54.296,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-188.626,0.0541712,-0.0112265,0.197708,0.0245403,-131.569,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-188.372,0.119072,-0.0349813,0.0390415,-0.104794,13.24,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-188.118,0.0469101,-0.0583731,-0.0608947,-0.0955132,119.605,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-187.864,-0.161531,0.00397929,0.0693948,0.0217007,-152.974,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-187.609,-0.122832,0.00090117,0.133006,-0.0256461,-174.038,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-187.355,0.0220035,-0.00746162,0.0374554,-0.131533,53.474,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-187.101,-0.0750918,0.123357,-0.0224196,-0.0640824,340.293,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-186.847,-0.0351432,0.0218084,-0.0221575,-0.0363389,36.875,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-186.593,0.0373849,-0.0827364,0.00405804,-0.0768332,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-186.338,-0.128475,-0.0595892,0.0825218,-0.0263845,-82.138,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-186.084,-0.13619,-0.0650383,0.129402,-0.0277393,-95.276,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-185.83,-0.0288415,-0.0283742,0.115823,-0.00957464,-102.562,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-185.576,-0.0233413,0.0731999,0.0126336,0.0298027,592.044,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-185.322,-0.0875957,-0.053509,-0.0810324,-0.0637737,-23.653,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-185.067,-0.109898,-0.116865,-0.0876091,-0.142385,100.959,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-184.813,-0.0617603,0.0588196,-0.137265,-0.127506,23.433,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-184.559,0.00351731,0.104089,-0.177677,-0.0646535,1035.582,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-184.305,0.00027624,0.0167318,-0.110647,-0.140863,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
