"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","depth_m","datetime","label","leg"
39.756,2948.37,2722.3,3207.57,2938.97,10.328,"2026-05-02T11:59:36.502Z",39.756,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
40.01,2948.03,2721.86,3206.89,2938.26,10.321,"2026-05-02T11:59:36.502Z",40.01,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
40.264,2948.26,2722.07,3206.26,2937.77,10.324,"2026-05-02T11:59:36.502Z",40.264,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
40.519,2947.65,2721.48,3206.7,2938.24,10.325,"2026-05-02T11:59:36.502Z",40.519,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
40.773,2946.81,2720.7,3207.26,2938.72,10.324,"2026-05-02T11:59:36.502Z",40.773,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
41.027,2947.1,2720.92,3207.11,2938.59,10.323,"2026-05-02T11:59:36.502Z",41.027,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
41.281,2947.45,2721.35,3207.4,2939.03,10.331,"2026-05-02T11:59:36.502Z",41.281,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
41.535,2946.57,2720.6,3208.68,2940.26,10.334,"2026-05-02T11:59:36.502Z",41.535,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
41.79,2945.87,2719.85,3209.58,2941.1,10.331,"2026-05-02T11:59:36.502Z",41.79,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
42.044,2946.43,2720.37,3209.74,2941.33,10.334,"2026-05-02T11:59:36.502Z",42.044,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
42.298,2946.39,2720.46,3210.37,2941.85,10.336,"2026-05-02T11:59:36.502Z",42.298,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
42.552,2944.48,2718.78,3211.26,2942.57,10.336,"2026-05-02T11:59:36.502Z",42.552,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
42.806,2942.72,2717.1,3211,2942.33,10.334,"2026-05-02T11:59:36.502Z",42.806,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
43.061,2942.94,2716.86,3209.82,2941.28,10.321,"2026-05-02T11:59:36.502Z",43.061,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
43.315,2943.78,2717.18,3209.29,2941.01,10.314,"2026-05-02T11:59:36.502Z",43.315,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
